,0
259,Lollys
260,Faith Militant
261,Ryger
262,Night's Watch
263,King's Landing Rioter
264,Colen of
265,Margaery's
266,Ser Endrew
267,Faceless
268,Rickard
269,King's Landing Rioter
270,Lannister Guard
271,Arthur
272,King Joffrey Baratheon
273,Gerold
274,King Stannis Baratheon
275,Denys
276,Young Cersei
277,Jonos
278,Jaqen's
279,King Renly Baratheon
280,Khal
281,Young Lyanna
282,Knight of House
283,Lannister
284,King Robb Stark
285,Septa
286,Addam
287,Willis
288,King Balon Greyjoy
289,Septa
290,Masha
291,Night's Watch
292,Lannister
293,Lannister Guard
294,Lannister Guard
295,Red Keep
296,Wyman
297,Lord
298,Cley
299,Cersei Body
300,High Septon
301,Rhaegar
302,Lord Galbart
303,Faith
304,Baratheon
305,The
306,Marianne
307,Hoster
308,Donnel
309,Wedding
310,Wilding
311,Child of the Forest
312,Child of the Forest
313,Child of the Forest
314,Howland
315,Lannister
316,Rick
317,Jerry
318,Summer
319,Beth
320,Mr.
321,David
322,Prince
323,Martin
324,Wendy
325,Charlotte
326,Jonah
327,Ruth
328,Roy
329,Young
330,Frank
331,Curtis
332,David
333,Sarah
334,Karen
335,Maria
336,Billy
337,Turk
338,Jimmy
339,Lana
340,Elsa
341,Ethel
342,Desiree
343,Sister Mary Eunice
344,Gloria
345,Will
346,Madison
347,Zoe
348,John
349,Dandy
350,Dr. Alex
351,Dr. Oliver
352,Dr. Ben
353,The
354,Hazel
355,Monsignor Timothy
356,Dell
357,Grace
358,Amazon
359,Paul the Illustrated
360,Legless
361,Vivien
362,Dr. Arthur
363,Lee
364,Ma
365,Winter
366,Ivy
367,Harrison
368,Detective
369,Dominic
370,Matt
371,The
372,Holden
373,Hayden
374,Moira O'Hara
375,Dr. Charles
376,Frank
377,Hank
378,Twisty the
379,Detective Andy
380,Scarlett
381,Vampire
382,Piggy
383,Vampire Boy
384,Marie Jeanne
385,Alma
386,Quentin
387,Lachlan
388,Vampire Boy
389,Max
390,Borquita
391,Lot
392,Rubber
393,Mother Superior
394,Lillian
395,Travis
396,Luke
397,Ima
398,Pauline
399,Wendy
400,Teresa
401,Dora
402,Joan
403,Bonnie
404,Dr.
405,Cecily
406,The
407,Corey
408,Louis
409,Real Lot
410,Leo
411,Sam
412,Mason
413,Papa
414,Mama
415,Natacha
416,Detective
417,Lorraine
418,Mrs.
419,Harrison
420,Detective
421,Fiona Goode
422,Richard
423,Real Ishmael
424,Cain
425,Viking
426,Security
427,Detective
428,Leigh
429,Kyle
430,Chester
431,Stevie
432,Chloe
433,Claudia
434,Detective Jack
435,Stephanie
436,Anna Leigh
437,Ishmael
438,Kevin
439,Anne
440,Jeffrey
441,Nun
442,Father
443,Nurse
444,Hugo
445,Douglas
446,Bodycam
447,Nurse
448,Young
449,Scalped
450,Elizabeth
451,Nun
452,Mr.
453,1930's
454,Man in
455,Mr.
456,Jed
457,Jenny
458,Rhonda
459,Mrs.
460,Young
461,Stephanie
462,Young
463,Sister
464,Mason
465,Young
466,Kit's
467,Dorothy
468,Detective
469,Myrtle Snow
470,Nurse
471,Zombie
472,Little
473,Detective
474,Pirate
475,Young Anne
476,Hank
477,Three Year Old
478,Detective
479,Hanks
480,Little Girl In
481,Fat
482,Zombie Slut
483,The
484,Asylum
485,The Headbanger
486,Bass
487,Asylum
488,Female
489,Margot
490,Shadow
491,College
492,Darth
493,Harvey
494,Mike
495,Louis
496,Rachel
497,Donna
498,Jessica
499,Katrina
500,Robert
501,Harold
502,Jeff
503,Sean
504,Daniel
505,Dr. Paula
506,Dana
507,Jack
508,Jonathan
509,Sheila
510,Tara
511,Oliver
512,Cameron
513,Anita
514,Edith
515,Jenny
516,Charles
517,Ava
518,Logan
519,Stephen
520,Stu
521,Alex
522,Edward
523,William
524,Travis
525,Judge
526,Nigel
527,Henry
528,Tony
529,Craig
530,Laura
531,Eric
532,Walter
533,Simon
534,Allison
535,Holly
536,Dominic
537,Zoe
538,Judge Gus
539,Seth
540,Larry
541,Clifford
542,Thomas
543,Colonel
544,James
545,Joe
546,Lawrence
547,Gloria
548,Terrence
549,Stan
550,Kyle
551,Esther
552,Mr.
553,Judge Donald
554,Thomas
555,Sergei
556,Lily
557,Gregory
558,Kenny
559,Sarah
560,Joy
561,Detective
562,Keith
563,Charles
564,Jason
565,Eva
566,Ella
567,Matt
568,Cathleen
569,Harry
570,Matt
571,Durham Foods
572,Hanley
573,Kevin
574,Matt
575,Karen
576,Foggy
577,Wilson
578,Sgt. Brett
579,Frank
580,Elektra
581,Mitchell
582,James
583,Ben
584,Leland
585,Vanessa
586,Claire
587,Blake
588,Turk
589,Samantha
590,Father
591,Melvin
592,Madame
593,Marci
594,Detective
595,Stan
596,Vladimir
597,Detective
598,Elena
599,Doris
600,Shirley
601,Young
602,Daniel
603,Jack
604,Colonel Ray
605,Mrs.
606,Jimmye
607,Benjamin
608,Roscoe
609,Anatoly
610,Dr. Gregory
611,Roy
612,Parish
613,Senator Randolph
614,Teardrop
615,Jeri
616,Marlene
617,Young
618,Young Wilson
619,Jacques
620,New
621,NYPD
622,Rick
623,Carl
624,Daryl
625,Carol
626,Maggie
627,Glenn
628,Tara
629,Sasha
630,Dr. Eugene
631,Rosita
632,Father Gabriel
633,Morgan
634,Beth
635,Sgt. Abraham
636,Hershel
637,Lori
638,Andrea
639,Paul
640,Tyreese
641,Spencer
642,Shane
643,The
644,Theodore
645,Bob
646,Dale
647,Merle
648,Jessie
649,Deanna
650,Caesar
651,Eric
652,Milton
653,Sam
654,Lizzie
655,Dr. Denise
656,Ron
657,Sophia
658,Amy
659,Mika
660,Alpha
661,Pete
662,Randall
663,Dr. Caleb
664,Ed
665,Officer
666,Reg
667,Lilly
668,Officer Dawn
669,Eliza
670,Meghan
671,Dr. Steven
672,Aiden
673,Dr.
674,Dr. Emmett
675,Blond
676,Fat
677,Officer
678,Dr.
679,Miranda
680,Hershel's Walker
681,Dr. Edwin
682,Big
683,Mitch
684,Sgt. Bob
685,Ryan
686,Male
687,Enid's
688,Negan's
689,Lam
690,Leon
691,Candace
692,Jenny
693,Duane
694,Lt.
695,Mr.
696,Neil
697,Guard
698,Red Jacket
699,Shaved Head
700,Black Bearded
701,Woodbury
702,Unnamed Camp
703,Louis
704,Camp
705,Tank
706,Tank
707,CDC Lab
708,Hospital
709,Ward
710,Infected
711,Private
712,Dead
713,CO CDR Tom
714,XO Mike
715,CMC
716,Lt. Danny
717,Lt. Kara
718,Lt. Alisha
719,Lt. Carlton
720,Sasha
721,Doc
722,Andrea
723,Carl
724,SCPO Wolf
725,Dr. Rachel
726,Comms Officer Will
727,Bernie
728,ASW
729,Lt. Andy
730,Capt. Joseph
731,Engineer
732,Sam
733,Kelly
734,TAO
735,Dr.
736,Jacob
737,Sean
738,Jed
739,Randall
740,Lt. Ravit
741,President Peng
742,Manuel
743,Lau
744,Albert
745,Stavros
746,Cult
747,Darien
748,Admiral Konstantin Nikolajewitsch
749,Senator William
750,Amy
751,Russian
752,Lt. Pete
753,Maya
754,Derek
755,Dr. Julius
756,Michael
757,Dr.
758,Lt.
759,Juan
760,Shirahama
761,Wu
762,Russian
763,Operation
764,Rachel's
765,Granderson Guard
766,Granderson's Guard
767,Someone In
768,Russian Helo
769,Christine
770,Chief Petty Officer
771,Navy Officer
772,Navy
773,Country
774,Spencer
775,Ricky
776,Charles
777,Vernon
778,Julie
779,Larry
780,Mr.
781,Tracy
782,Mark
783,Wayne Hastings
784,Jay
785,Andre
786,Travis
787,Larry
788,Terrell
789,Dallas Cowboys
790,NFL
791,Jimmy
792,Adam
793,Stephen
794,Pink Breakfast Patron
795,Club
796,Club
797,Precision
798,Bjorn
799,Ragnar
800,Queen
801,King
802,The
803,Siggy
804,King Harald
805,Halfdan the
806,Bishop
807,Bishop
808,Emperor
809,Queen
810,King
811,King
812,Count
813,Alfred the
814,Jarl
815,Earl
816,Viking
817,Waerferth the
818,Saxon
819,French
820,Law
821,Lord
822,First
823,Second
824,Ketill
825,Ziyadat
826,Earl
827,Ealdorman
828,Brother
829,Viking
830,Saxon
831,Second Saxon
832,Third Saxon
833,Black Cloaked
834,Earl
835,Abbot
836,Viking#2
837,Housecarl
838,Warrior
839,Haraldson
840,Aethelred
841,Ray
842,Abby
843,Terry
844,Bunchy
845,Bridget
846,Conor
847,Mickey
848,Potato
849,Frank
850,Ezra
851,Ed
852,Teaser
853,Ronald
854,Paige
855,Harriet
856,Marvin Gaye
857,Natalie
858,Kate
859,Father
860,Hector
861,Lee
862,Andrew
863,Jim the
864,Mr.
865,Ashley
866,Maureen
867,Tommy
868,Donna
869,Marisol
870,Sonia
871,Varick
872,Cookie
873,Van
874,Davros
875,Stu
876,Mrs.
877,Jacob
878,Detective Sheila
879,Punch
880,Sully
881,Doug
882,Sean
883,Steve
884,Sylvie
885,FBI Agent
886,Cookie's
887,Megan
888,Hooker
889,Bill
890,Mrs.
891,Kenneth
892,Bob
893,Marty
894,Jackson
895,Governor
896,Deonte
897,Ivan
898,Helen
899,Todd
900,Casey
901,Stella
902,Catherine's
903,Cookie's
904,Officer Steve
905,Lasandra
906,Randall
907,Dr.
908,Rob
909,Jay
910,Pinkie-Toe Josephine Melcher
911,Hispanic
912,Jessica
913,Zack
914,John Van
915,Debra
916,Mr.
917,Detective Lonnie
918,Dave
919,Samantha
920,Sandy
921,Alan
922,Judy
923,Flip
924,Iris
925,El Partido
926,Dr.
927,Charlotte
928,Liza
929,Jerry
930,FBI Agent Thomas
931,Sheldon
932,Gary
933,Rough Guy
934,Rough Guy
935,Marilyn
936,Officer
937,High End Las
938,Hooker
939,Frank
940,Fiona
941,Carl
942,Veronica
943,Lip
944,Kevin
945,Debbie
946,Ian
947,Liam
948,Sheila
949,Mickey
950,Mandy
951,Karen
952,Chuckie
953,Jody
954,Alibi Bar
955,Sean
956,Sammi
957,Carol
958,Professor
959,Gus
960,Tony
961,Monica
962,Terry
963,Matty
964,Helene
965,Holly
966,Mike
967,Eddie
968,Ron
969,Lloyd
970,Iggy
971,Theo
972,Robbie
973,Jackie
974,Jasmine
975,Bianca
976,Lou
977,Professor
978,Dollface
979,Little
980,Father
981,New
982,Gail
983,Candace
984,Dick
985,Bobby
986,Peg
987,Bill
988,Dr.
989,Colin
990,Roger
991,Professor
992,Abraham
993,Tony's
994,Christopher
995,Colonel Kirk
996,Craig
997,Chip
998,Clayton
999,Jeff
1000,Tony
1001,Uncle
1002,Dr.
1003,Dr.
1004,Marty
1005,Steve's
1006,Detective
1007,Dirty Joan
1008,Oompa
1009,Russian
1010,College
1011,Girl at
1012,Cocktail Waitress
1013,Chicago Police
1014,Yacht
1015,Family Member
1016,Sister
1017,Jesus
1018,Diner Customer
1019,College
1020,Rachel
1021,Monica
1022,Phoebe
1023,Joey
1024,Chandler
1025,Dr. Ross
1026,Jack
1027,Judy
1028,Mike
1029,Carol
1030,Emily
1031,Susan
1032,Estelle
1033,Dr. Richard
1034,Charlie
1035,Frank Buffay
1036,Tag
1037,Ben
1038,Pete
1039,Dr.
1040,Mark
1041,Barry
1042,Alice Knight
1043,Mr.
1044,Joshua
1045,Janine
1046,Elizabeth
1047,Mr.
1048,Mr.
1049,Nora Tyler
1050,Dr. Leonard
1051,Sandra
1052,Paul
1053,Eddie
1054,Charles
1055,Gavin
1056,Phoebe Abbott
1057,Kate
1058,The
1059,Dr.
1060,Jill
1061,Richard
1062,Amy
1063,Fun
1064,Mr. Kaplan
1065,Stephen
1066,Theodore
1067,The
1068,Mr.
1069,The
1070,'Pie in the Hood'
1071,Bitsy
1072,Dr. Mike
1073,Andrea
1074,Dr.
1075,Gate
1076,the Assistant
1077,Nurse
1078,Jill
1079,Joey Tribbiani
1080,Aunt
1081,Rob
1082,Frank Buffay
1083,Elizabeth
1084,Cassie
1085,Melissa
1086,the
1087,Amanda
1088,Dr. Benjamin
1089,Aunt
1090,Luisa
1091,Erika
1092,Jean-Claude Van
1093,Grandma
1094,Hope
1095,Alan
1096,Mary Ellen
1097,the
1098,The Tanning Salon
1099,Missy
1100,Dr. Michael
1101,The Museum
1102,Ned
1103,Jim
1104,Dr.
1105,the Charity
1106,Donny
1107,Obsession
1108,Gloria
1109,Dr. Jeffrey
1110,Mr.
1111,Mrs.
1112,Cookie
1113,The Gentleman on the
1114,Dina
1115,The Waiter
1116,Dr.
1117,Pizza
1118,Nonna
1119,Mona's
1120,Bratty
1121,Young
1122,Gina
1123,Dr.
1124,Lelani
1125,Leslie
1126,James
1127,Nana's
1128,Fran
1129,Young
1130,Young
1131,Chandler
1132,Jamie
1133,Frank Buffay Jr.
1134,Ralph Lauren
1135,Emma
1136,Marcel the
1137,Guy on
1138,Dick
1139,Mean Guy in Coffee
1140,Jay
1141,Caroline
1142,Tank
1143,World's Greatest
1144,Casino
1145,Will
1146,Convention
1147,Joyce
1148,Jim
1149,Mike
1150,Dustin
1151,Lucas
1152,Nancy
1153,Jonathan
1154,Karen
1155,Steve
1156,Will
1157,Officer
1158,Ted
1159,Bob
1160,Dr.
1161,Dr. Martin
1162,Officer
1163,Holly
1164,The
1165,Mr.
1166,Lead
1167,Agent Connie
1168,Arcade
1169,Lonnie
1170,Tommy
1171,Agent
1172,Barb
1173,Nerdy
1174,Hawkins Head of
1175,Elevator
1176,Mr.
1177,Benny
1178,State Trooper
1179,Officer
1180,Young
1181,High School
1182,Elsa
1183,Sam
1184,Casey
1185,Julia
1186,Doug
1187,Coach
1188,Bailey
1189,Madison
1190,Danny
1191,Colleen
1192,Joy
1193,Ward
1194,Harold
1195,Madame
1196,Claire
1197,Lawrence
1198,Kevin
1199,Wendell
1200,Donald
1201,Maria
1202,Jeri
1203,Radovan
1204,Hai-Qing
1205,Paul
1206,Sandi
1207,Heather
1208,Peanut
1209,Joe the
1210,Thembi
1211,Nurse
1212,Zhou
1213,Rand Security
1214,Bride of Nine
1215,Shirley
1216,Scott
1217,Lydia
1218,Stiles
1219,Sheriff Noah
1220,Chris
1221,Melissa
1222,Derek
1223,Malia
1224,Liam
1225,Allison
1226,Deputy Jordan
1227,Dr. Alan
1228,Kira
1229,Peter
1230,Coach Bobby
1231,Mason
1232,Isaac
1233,Theo
1234,Jackson
1235,Danny
1236,Natalie
1237,Hayden
1238,Gerard
1239,The
1240,Ken
1241,Kate
1242,Rafael
1243,Victoria
1244,Noshiko
1245,Vernon
1246,Deputy Valerie
1247,The
1248,Tracy
1249,Marin
1250,Cora
1251,The
1252,Erica
1253,Jennifer
1254,Brett
1255,Meredith
1256,Adrian
1257,Matt
1258,Claudia
1259,Josh
1260,Mrs.
1261,Mr. Garrett
1262,Dr. Gabriel
1263,The
1264,Dr. Conrad
1265,Young Peter
1266,Nurse
1267,Dr.
1268,Araya
1269,Severo
1270,Dr.
1271,Lacrosse
1272,Donovan
1273,David
1274,Ms.
1275,Deputy
1276,Mr.
1277,Mr.
1278,Deputy Tara
1279,Laura
1280,Young Derek
1281,The
1282,Henry
1283,Satomi
1284,Sebastien
1285,Sean
1286,Danny's
1287,High School
1288,Deputy
1289,Mr.
1290,Young
1291,Young M. Stiles
1292,Sean
1293,Katashi
1294,Young Chris
1295,Young Scott
1296,Sean
1297,Tucker
1298,Lorraine
1299,Kanimat
1300,Young Vernon
1301,High School Student
1302,Alpha
1303,High School Student
1304,Young Lorraine
1305,Jessica
1306,Trish
1307,Malcolm
1308,Jeri
1309,Will
1310,Luke
1311,Hope
1312,Wendy
1313,Albert
1314,Det. Oscar
1315,Louise
1316,Dorothy
1317,Reva
1318,Young
1319,Young
1320,Young
1321,Claire
1322,D.A. Samantha
1323,Bob
1324,Barbara
1325,Sgt. Brett
1326,New
1327,Captain Irving Forbush on a Poster at 15th
1328,Lacie
1329,Judge
1330,Delivery
1331,Cora
1332,Mason
1333,Harry
1334,Caitlin
1335,Lorna
1336,Leah
1337,Phoebe(9
1338,Young
1339,Young
1340,Angela
1341,James
1342,Tasha St.
1343,Tommy
1344,Cooper
1345,Mike
1346,Tariq St.
1347,LaKeisha
1348,Joe
1349,Raina St.
1350,SAC Jerry
1351,Simon
1352,Assistant U.S. Attorney John
1353,Felipe
1354,Tony
1355,Pink
1356,Father
1357,Marshal
1358,Officer
1359,Dean
1360,Jae
1361,Judge
1362,Alex
1363,Diego
1364,Student
1365,Desk
1366,Cop
1367,Student with
1368,VIP Club
1369,Club
1370,Barry
1371,Iris
1372,Caitlin
1373,Cisco
1374,Dr. Harry
1375,Joe
1376,Wally
1377,Eddie
1378,Captain David
1379,The
1380,Clifford
1381,Jesse
1382,Jay
1383,Julian
1384,Henry
1385,Cecile
1386,Captain
1387,Nora
1388,Dr. Martin
1389,Ronnie
1390,Patty
1391,Young
1392,Linda
1393,Felicity
1394,Man In The Iron
1395,Oliver
1396,Christina
1397,Eobard
1398,Francine
1399,Mick
1400,Tracy
1401,Gorilla
1402,General Wade
1403,Kendra
1404,John
1405,Mason
1406,Mark
1407,James
1408,Tony
1409,Henry
1410,Hartley
1411,Dante
1412,Edward
1413,Lyla
1414,Clarissa
1415,Golden
1416,Officer
1417,Mayor Anthony
1418,King
1419,Black
1420,Jefferson
1421,Malcolm
1422,Eric
1423,Clyde
1424,Mirror
1425,Tom
1426,Captain Julio
1427,Scott
1428,Kyle
1429,Rosalind
1430,Rainbow
1431,Ray
1432,Kara
1433,Young Iris
1434,Adam
1435,Samantha
1436,Hannibal
1437,Joey
1438,Bette Sans
1439,Clock
1440,Danton
1441,Quentin
1442,Eddie
1443,Ashley
1444,Simon
1445,Tess
1446,Lewis
1447,Jason
1448,James
1449,Griffin
1450,Dr. Carla
1451,Abra
1452,Jared
1453,Young Tony
1454,Brie
1455,Young Hunter
1456,Frankie
1457,Eliza
1458,Eve
1459,J'onn
1460,Heat
1461,Axel
1462,Sara
1463,Dexter
1464,Damien
1465,Bethany
1466,Floyd
1467,Music
1468,Newscaster
1469,Accelerated
1470,Young
1471,Vandal
1472,Al
1473,Carter
1474,Oswald
1475,William
1476,Lily
1477,Agent
1478,Sam
1479,Dean
1480,Bobby
1481,Mary
1482,Kevin
1483,Sheriff Jody
1484,John
1485,Chuck
1486,Lisa
1487,Arthur
1488,Ellen
1489,Benny
1490,Amara
1491,Samuel
1492,Jo
1493,Amelia
1494,Charlie
1495,Meg
1496,Bela
1497,Rufus
1498,Dick
1499,Young Sam
1500,Anna
1501,Ben
1502,Mick
1503,Claire
1504,Lady Toni
1505,The
1506,Kelly
1507,Ed
1508,Harry
1509,Garth Fitzgerald
1510,Jessica
1511,Gordon
1512,Frank
1513,FBI Agent Victor
1514,Cole
1515,Pamela
1516,Christian
1517,Gwen
1518,Dr.
1519,Sheriff Donna
1520,Alex
1521,Freeman
1522,Alpha
1523,Adam
1524,Young Dean
1525,Young John
1526,Cuthbert
1527,Becky
1528,Dr. Eleanor
1529,Linda
1530,Dr.
1531,Amara
1532,Eileen
1533,Alicia
1534,Karen
1535,FBI Special Agent Carl
1536,Crossroads
1537,Demon
1538,Barry
1539,Krissy
1540,Henry
1541,Martin
1542,Sarah
1543,Dr.
1544,Harley
1545,Ronald
1546,Jim
1547,Mr.
1548,Karen
1549,Andrew
1550,Young Mary
1551,Lila
1552,Monroe
1553,Betty
1554,Cal
1555,Eldon
1556,Detective
1557,Dr. Ellen
1558,Jake
1559,Ava
1560,Tommy
1561,Bobby's
1562,Paris Hilton Fan
1563,Lester
1564,Jenny
1565,Eli
1566,College
1567,Mark
1568,Gavin
1569,David
1570,Daniel
1571,Lee
1572,Dr.
1573,Mara
1574,Evan's
1575,Paris Hilton Fan
1576,Demon
1577,Convenience Store
1578,Channing
1579,Male Demon
1580,Mr.
1581,Janitor
1582,Male Demon
1583,Angel
1584,Future Prophet
1585,Maggie
1586,Missouri
1587,Kenny
1588,Detective
1589,Sheriff
1590,David
1591,Patience
1592,Constance
1593,Layla
1594,Det. Diana
1595,Robert
1596,Cassie
1597,Max
1598,Pa
1599,Angela
1600,Brad
1601,Dr.
1602,Gary
1603,Don
1604,Ennis
1605,Haley
1606,Sue Ann
1607,George
1608,Mrs.
1609,Officer
1610,Jay
1611,Clark
1612,Jesse
1613,Kate
1614,Maggie
1615,Fred
1616,Eliot
1617,Ben
1618,Alvin
1619,Melanie
1620,Jimmy
1621,Emily
1622,Dean's
1623,Dr.
1624,Julia
1625,Samuel
1626,Joyce
1627,Larry
1628,Julian
1629,Amelia
1630,Adolf
1631,Dr. James
1632,Mayor Harold
1633,Jared
1634,Jeff
1635,Martin
1636,Tracy
1637,Doc
1638,Wax Museum
1639,Cliff
1640,Dr. Sanford
1641,H. H.
1642,Stacey
1643,Tara
1644,Nancy
1645,Alan J.
1646,Old Dean
1647,Cole
1648,Margo
1649,Tasha
1650,Joe the
1651,Evan
1652,Deal-Making
1653,Walter
1654,Deanna
1655,Jimmy
1656,Jim
1657,Religious
1658,Freddie
1659,Ben
1660,Joseph
1661,Mrs.
1662,Dr.
1663,Blonde
1664,Mr.
1665,Professor William
1666,Irina
1667,Djinn
1668,Sal
1669,Angel
1670,Nora's
1671,Elise
1672,Francine
1673,Consuela
1674,Xavier's
1675,Sean
1676,Young Bobby
1677,Angel
1678,Vampire
1679,Demon
1680,Mrs.
1681,Mrs.
1682,Abraham
1683,Owen
1684,Zao
1685,Old Lila
1686,Joke Shop
1687,Jefferson Starship
1688,Officer Karl
1689,Young Larry
1690,Demon
1691,Portal
1692,Kylie
1693,Angel
1694,Young Mick
1695,Fiona
1696,Jimmy
1697,Teen
1698,Little Girl's
1699,H.P.
1700,Future Prophet
1701,Demon
1702,Scarred
1703,Bloody
1704,Little Red Riding
1705,Maid
1706,Bar
1707,Renny
1708,Bus Station
1709,Charlie
1710,Guy at
1711,Male
1712,Future Prophet
1713,Yellow-Eyed
1714,Yoga
1715,Nurse Jen
1716,Tour
1717,Mr.
1718,Postman
1719,Tess
1720,Big
1721,Dr. Meredith
1722,Dr. Alex
1723,Dr. Miranda
1724,Dr. Richard
1725,Dr. Derek
1726,Dr. Callie
1727,Dr. Cristina
1728,Dr. Owen
1729,Dr. Arizona
1730,Dr. Jackson
1731,Dr. April
1732,Dr. Mark
1733,Dr. Izzie
1734,Dr. Jo
1735,Dr. Stephanie
1736,Dr. Lexie
1737,Dr. George
1738,Dr. Ben
1739,Dr. Amelia
1740,Dr. Maggie
1741,Dr. Preston
1742,Dr. Teddy
1743,Dr. Addison
1744,Dr. Andrew
1745,Dr. Shane
1746,Dr. Leah
1747,Dr. Nathan
1748,Intern
1749,Dr. Catherine
1750,Paramedic
1751,Nurse
1752,Intern
1753,Dr.
1754,Dr. Erica
1755,Intern
1756,Denny
1757,Adele
1758,Dr. Heather
1759,Intern
1760,Ellis
1761,Dr. Penelope
1762,Intern
1763,Intern
1764,Nurse
1765,Intern
1766,Jane
1767,Olivia
1768,Dr. Isaac
1769,Nurse
1770,Intern
1771,Henry
1772,Ray the
1773,Dr. Ryan
1774,Nurse
1775,Thatcher
1776,Dr. Charles
1777,Dr. Nicole
1778,Nurse
1779,Matthew
1780,Nurse
1781,Dr. Eliza
1782,Jill the
1783,Dr. Reed
1784,Lab
1785,ER
1786,Paramedic
1787,ER
1788,Paramedic
1789,Dr. Finn
1790,Dr. Katharine
1791,Lawrence
1792,Dr. Sydney
1793,Dr. Lucy
1794,Eli
1795,Dr. Sadie
1796,Intern
1797,E.R.
1798,Intern
1799,Dr. Raj
1800,Louise
1801,Tucker
1802,Dr. Robert
1803,Dr. Andrew
1804,Dr. Jason
1805,Sabine
1806,Harold
1807,Dr. Emma
1808,Nurse
1809,Jimmy
1810,David
1811,Nurse
1812,Nurse
1813,Dr. Mitchell
1814,Teresa
1815,Paul
1816,Social Worker
1817,O.R.
1818,Susan
1819,Nurse
1820,Nurse
1821,Ethan
1822,Braden
1823,Nurse
1824,Dr. Alana
1825,Jerry
1826,Ronny
1827,Dr. Julia
1828,Dr. Craig
1829,Dr. Morgan
1830,Evelyn
1831,Kyle
1832,Sloan
1833,Carlos
1834,Intern
1835,Scrub
1836,Jon
1837,Jane
1838,Link
1839,Gary
1840,Dr. Darren
1841,Roberta
1842,Dylan
1843,Dr. Jeff
